USER_ID;USERNAME;CREATION_TIMESTAMP;COUNTRY;USER_STATE_ID
1;USER_1;1633080392;EN;3
2;USER_2;1633081775;DE;2
3;USER_3;1633193240;MT;2
4;USER_4;1633249920;ES;2
5;USER_5;1633506506;MT;2
6;USER_6;1633542030;DE;1
7;USER_7;1633633256;DE;2
8;USER_8;1633693965;MT;2
9;USER_9;1633699644;EN;3
10;USER_10;1633781709;ES;2
11;USER_11;1633804990;MT;1
12;USER_12;1634290251;ES;1
13;USER_13;1634335435;DE;3
14;USER_14;1638537681;MT;1
15;USER_15;1638709361;MT;2
16;USER_16;1638734788;ES;1
17;USER_17;1652391489;MT;3
18;USER_18;1652983276;DE;2
19;USER_19;1654981320;EN;3
20;USER_20;1655221631;EN;1
